Marca temporal;Elige el curso;Opinión General Sobre el Curso;¿Aprobó la Cursada?;¿Cómo te Resultaron los Temas de la Materia?;¿Los Temas de la Materia Están Actualizados?;Nivel de las Clases Teóricas del Curso;Nivel de las Clases Prácticas del Curso;Dificultad del Curso;Dificultad del TP;¿Cursaste antes la materia de manera presencial?;¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Clases teóricas];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Clases prácticas];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Trabajos prácticos];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Instancias de consulta];¿Cómo te parece que fue el desempeño de la cátedra respecto de lo que hubieras esperado en una cursada presencial en los siguientes aspectos?  [Tiempos de respuesta ante consultas];¿Qué aspectos valorás positivamente de la cursada remota? (elegí todas las que apliquen);¿Qué aspectos valorás negativamente de la cursada remota? (elegí todas las que apliquen);¿Creés que la cátedra estuvo a la altura de una cursada virtual? En cuanto a herramientas, comunicación, material, etc;¿Creés que debería evaluarse la posibilidad de que el curso sea total o parcialmente virtual cuando sea posible retomar las cursadas presenciales?;¿Estás conforme con la forma en que el curso evaluó sus contenidos? ¿Te sentiste cómodo/a?;¿Tenés algún otro comentario o sugerencia sobre el curso y la cursada virtual de este cuatrimestre?;;;;;;
3/1/2021 21:42:13;75.40-95.14-Algoritmos y Programación I - 4 - Essaya;Bueno;No;Interesantes;Sí;Muy Buenas;Buenas;Dificil;Muy dificil;No;Mejor;Mejor;Peor;No aplica;No aplica;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares, Pérdida de comunicación no verbal, Problemas de conectividad;Estuvo a la altura;Si;Si, estuve cómodo.;Lo malo de esto fue el corte que hubo del segundo cuatrimestre por el tema de las vacaciones.;;;;;;
3/1/2021 22:03:58;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Similar;Similar;Similar;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Problemas de conectividad;Totalmente. Se adaptaron a la perfección;Si;Si. muy conforme;;;;;;;
3/1/2021 22:05:36;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Mejor;Similar;Similar;Mejor;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros;Menor interacción con mis pares, Pérdida de comunicación no verbal, Problemas de conectividad;Totalmente;Si;Si;;;;;;;
3/1/2021 22:07:42;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Muy Bueno;Sí;Interesantes;Sí;Buenas;Excelentes;Dificil;Normal;No;Peor;Mejor;Mejor;Peor;Similar;Posibilidad de ver las clases posteriormente, Ahorro en tiempo de viaje, Menores costos de traslado y otros;Menor interacción con el docente, Pérdida de comunicación no verbal;si;Si;si;en lo personal ne gusto ver una y otra vez las claes grabadas, me fueron muy utiles ;;;;;;
3/1/2021 22:13:38;75.12-95.04-95.10-95.13-Análisis Numérico I/Modelación Numérica/Métodos Matemáticos y Numéricos - 4 - Schwarz;Bueno;Sí;Interesantes;Sí;Muy Buenas;Regulares;Normal;Dificil;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Falta de espacio adecuado para estudiar, Incomodidad en mi hogar;Si en la teoría;No;So;;;;;;;
3/1/2021 22:19:35;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Interesantes;Sí;Excelentes;Excelentes;Dificil;Dificil;No;Similar;Similar;Mejor;Similar;Mejor;Posibilidad de ver las clases posteriormente, Ahorro en tiempo de viaje;Menor interacción con mis pares;mas que a la altura;Si;si;;;;;;;
3/1/2021 22:20:31;75.40-95.14-Algoritmos y Programación I - 4 - Essaya;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Dificil;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares;Totalmente si, mas con el hecho de que empece con una idea negativa y me sorprendio para bien al punto de que me guste cursar remotamente;Si;Si;Agregando a la pregunta de que deberia evaluarse la posibilidad de cursar virtual esta materia me parece totalmente que si, a diferencia de las materias exactas como AMII o Algebra II, a esta siento que se le puede sacar mucho mas provecho cursandola de manera virtual.;;;;;;
3/1/2021 22:20:41;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Similar;Mejor;Mejor;Similar;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares;La cátedra superó las expectativas para la cursada virtual, muy buen trabajo ;Si;Si, muy cómodo y todo muy bien organizado ;;;;;;;
3/1/2021 22:26:59;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Muy Bueno;Sí;Muy Interesantes;Sí;Muy Buenas;Muy Buenas;Normal;Normal;No;Similar;Similar;Similar;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros;Menor interacción con el docente, Menor interacción con mis pares, Problemas de conectividad, Falta de espacio adecuado para estudiar;Si;Si;Si;;;;;;;
3/1/2021 22:28:13;75.12-95.04-95.10-95.13-Análisis Numérico I/Modelación Numérica/Métodos Matemáticos y Numéricos - 4 - Schwarz;Malo;No;Poco Interesantes;Sí;Buenas;Malas;Dificil;Dificil;No;Similar;Peor;Peor;Peor;Peor;Posibilidad de ver las clases posteriormente;Menor interacción con el docente, Menor interacción con mis pares, Pérdida de comunicación no verbal;;No;;"Curse en la Catedra de Schwartz-Sosa. Por un lado las clases teoricas me parecieron relativamente buenas, teniendo en cuenta que no es una materia facil de explicar mediante un pdf, ya que incluye mucho desarrollo matematico que decirlo oralmente se hace un poco engorroso. 
Ahora bien, lo que yo todavia no logro comprender es el enfoque que se le quiere dar a la materia. Por un lado se nos exige a los alumnos que seamos capaces de entender un nuevo sistema de ""comunicacion"" como lo es el jupyter Notebook. Al no tener conocimientos previos de la programacion, padeci absolutamente todos los trabajos practicos. En ningun momento pude lograr comprender lo que estaba escribiendo en el codigo. Entiendo que sea dificil explicarle a alguien a programar desde 0, pero es que con algunos videos de introduccion a la programacion, no me sirvieron como para entender, procesar, y a posteriori, redactar yo mismo un codigo en Python. 
En mi caso personal, si no fuese que contabamos con un estudiante de Ingenieria Informatica, jamas hubiesemos sido capaces de terminar tanto el TP final como el resto de los tps.
Todo esto influyo, a la hora de dar el TP final oralmente. Ya que se hacian preguntas muy puntillosas sobre el codigo, el cual, yo personalmente, me costo horrores entender,  ya q como repeti anteriormente, no tengo las bases de la programacion como para maso menos entender que me dice el codigo
La verdad es que no me llevo una grata experiencia, mi humilde recomendacion seria que le den un giro a la parte pracrica de la materia, ya que las personas q se enfrentan por primera vez a un codigo, como yo, no somos capaces de incorporarlo con tan solo unos videos de introduccion";;;;;;
3/1/2021 22:30:22;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Muy Bueno;Sí;Interesantes;Sí;Muy Buenas;Excelentes;Normal;Normal;No;Similar;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;;Si en cuanto a todo;Si;Si a ambas;;;;;;;
3/1/2021 22:41:05;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Buenas;Excelentes;Dificil;Normal;No;Peor;Mejor;Similar;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje;Menor interacción con mis pares;;Si;la plataforma para rendir el parcial no fue la mejor, los trabajos prácticos perfecto;más material teórico  ;;;;;;
3/1/2021 23:04:05;75.16-95.49-Lenguajes de Programación - Corsi;Muy Bueno;Sí;Muy Interesantes;Sí;Muy Buenas;Regulares;Facil;Normal;No;Similar;Peor;Similar;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Problemas de conectividad;Sí, las clases teóricas se dieron con lo que considero un buen nivel. En las clases prácticas sentí un mal uso de las herramientas: el chat de google meet como pizarrón no es la mejor de las opciones disponibles, además, me hubiese gustado recibir algún tipo de feedback sobre los trabajos prácticos entregados semanalmente. Fuera de estos detalles, las clases prácticas me fueron útiles para cerrar conceptos que en las clases teóricas quedaban un poco abstractas, por ejemplo: cálculo lambda y los ligamientos de las variables.;Si;Reiterando lo previamente comentado: me hubiese gustado recibir algún tipo de feedback sobre los trabajos prácticos entregados semanalmente.;El compromiso del Dr. Diego Corsi con la materia es sublime: para este cuatrimestre realizó cambios en un intérprete del lenguaje FP - John Backus (de Juan Facorro) para que se adecuaran aún más a lo visto en las clases, además, realizó apuntes varios muy completos y muy interesantes sobre temas que se vieron durante la materia, por ejemplo: un resumen de varios libros sobre intérpretes y compiladores que, además, tradujo al español [+40 páginas] ;;;;;;
3/1/2021 23:12:07;75.12-95.04-95.10-95.13-Análisis Numérico I/Modelación Numérica/Métodos Matemáticos y Numéricos - 4 - Schwarz;Bueno;Sí;Interesantes;Sí;Buenas;Buenas;Normal;Dificil;No;Mejor;Mejor;Mejor;Similar;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;;si;Si;si;;;;;;;
3/1/2021 23:15:26;75.12-95.04-95.10-95.13-Análisis Numérico I/Modelación Numérica/Métodos Matemáticos y Numéricos - 4 - Schwarz;Excelente;Sí;Interesantes;Sí;Excelentes;Excelentes;Normal;Dificil;No;Mejor;Similar;Mejor;Similar;Mejor;Posibilidad de ver las clases posteriormente, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares, Pérdida de comunicación no verbal, Problemas de conectividad;Si;Si;Si;Muy buena disposición de todos;;;;;;
3/1/2021 23:21:17;75.42-Taller de Programación I - 2 - Azcurra;Malo;Sí;Interesantes;Sí;No hay clases teóricas;No Hay Clases Prácticas;Dificil;Dificil;No;Peor;Peor;Peor;Similar;Peor;Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Problemas de conectividad;"No.
Sólo hubo una clase teórica a lo largo de todo el cuatrimestre, y esta no alcanzó para el desarrollo del trabajo práctico.
Las demás ""clases"", si es que se pueden llamar así, fueron básicamente un conjunto de preguntas (previamente subidas al campus virtual por alumnos) sobre el trabajo práctico. Las ""clases"" solían durar muy poco ya que tampoco había muchas consultas.

Nos dejaron al libre albedrío con la biblioteca de SDL2, no dieron ni la más mínima explicación de cómo utilizarla, simplemente distribuyeron un link a un tutorial [http://lazyfoo.net/SDL_tutorials/] y se obviaron la parte de explicar.

También nos dejaron al libre albedrío con conceptos de arquitecturas cliente-servidor, si bien la única clase que se dio en la materia trató de esto, considero que no fue suficiente y que se podría haber entrado más en detalle, siendo una materia con temario de la Facultad de Ingeniería de la UNIVERSIDAD DE BUENOS AIRES.s

En general: unos incompetentes.";Si;Respecto a la forma de evaluar las diferentes etapas del trabajo práctico, considero que se manejaron correctamente.;"Esta cátedra no enseña nada, todo lo que hicimos para el trabajo práctico, o nació de puro compromiso del alumnado por buscar de forma autodidacta conceptos y herramientas o fue visto, entendido y aplicado a partir de ver clases de la cátedra de Veiga.

Completamente en desacuerdo con que los docentes no den clases teóricas.";;;;;;
3/1/2021 23:42:57;75.12-95.04-95.10-95.13-Análisis Numérico I/Modelación Numérica/Métodos Matemáticos y Numéricos - 4 - Schwarz;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Dificil;No;Similar;Similar;No aplica;Similar;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Comodidad de mi hogar;Problemas de conectividad;Si;Si;Si;No tengo ninguna sugerencia que realizar. La verdad es que durante todo el cuatrimestre (inclusive durante el receso) se mostraron muy predispuestos a atender consultas, que surgían a medida que realizábamos el trabajo practico. Desconozco como se manejaban en las presencialidad, pero considero que (dentro de las materias que curse en esta modalidad) fue una de las mejores que se logro adaptar. Una catedra muy recomendable. ;;;;;;
3/2/2021 0:08:50;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Similar;Mejor;Mejor;Similar;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Comodidad de mi hogar;Menor interacción con mis pares;Claramente, incluso con cosas mejores que lo que sería presencial;Si;Estoy conforme, me parecieron claras las condiciones y estuve cómodo con estas;Se adaptaron excelente a la virtualidad. A tal punto que los exámenes y las prácticas sería hasta preferible que sigan virtuales aún cuando vuelva la presencialidad;;;;;;
3/2/2021 0:09:04;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Muy Buenas;Excelentes;Normal;Normal;No;;;;;;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;;Si, estuvo excelente, le dan todos los materiales al alumno para que aprenda todo y mas;Si;Si, daban cosas acorde a lo enseñado y te hacen sentir increiblemente comodo;;;;;;;
3/2/2021 0:34:35;75.12-95.04-95.10-95.13-Análisis Numérico I/Modelación Numérica/Métodos Matemáticos y Numéricos - 4 - Schwarz;Excelente;Sí;Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Similar;Mejor;No aplica;Similar;Peor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje;;Totalmente a la altura.;Si;En mi opinión es más efectiva esta forma de evaluar que el exámen ordinario.;;;;;;;
3/2/2021 7:13:26;75.12-95.04-95.10-95.13-Análisis Numérico I/Modelación Numérica/Métodos Matemáticos y Numéricos - 4 - Schwarz;Bueno;Sí;Interesantes;Sí;Buenas;No Hay Clases Prácticas;Normal;Dificil;No;Mejor;Mejor;Mejor;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;;Sí.;Si;Sí. Me hubiera gustado que los ejercicios a entregar pudieran haber sido hechos con software (como por ejemplo LaTeX);"Que dejen entregar los ejercicios obligatorios en LaTeX u otros softwares. 
Que no tomen asistencia dado a que se graban las clases. 
Que no se pretenda utilizar POO en el TP, dado a que no necesariamente todo el mundo lo sabe (personalmente ne mi grupo solo 2 de 5 lo sabíamos y terminamos programando casi todo el TP). 
Que el TP tenga una nota individual y otra grupal.
Que se pida un cuestionario sobre qué piensa cada integrante del resto de sus compañeros de TP para que se muestre quiénes trabajaron y se penalice a los que no.
";;;;;;
3/2/2021 7:40:59;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Buenas;Excelentes;Normal;Normal;No;Similar;Similar;Similar;Similar;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Menor interacción con mis pares;Totalmente, 100%;Si;Si, son increíbles;que si bien la cursada virtual es muy cómoda y ellos se adaptan perfecto, hay una magia sobre estar físicamente que no se puede negar. Me gustaría tal vez una mezcla. Por ejemplo, las clases teóricas, donde no hay tanta interacción, que sean virtuales. Sin embargo las prácticas, que sean presenciales.;;;;;;
3/2/2021 9:55:22;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Dificil;Dificil;No;Similar;Similar;Similar;Similar;Mejor;Ahorro en tiempo de viaje, Menores costos de traslado y otros;Menor interacción con mis pares, Pérdida de comunicación no verbal, Problemas de conectividad, Falta de espacio adecuado para estudiar;Totalmente, a pesar de que en general no prefiero la cursada virtual por sobre la presencial, esta cátedra supo cómo dar clases por Meet muy interesantes y divertidas. El material era muy claro y los profesores siempre estaban al pendiente de nuestro canal de Slack por posibles consultas. Los trabajos y examenes fueron difíciles pero en buen sentido. Cursar con más profesores así sería un lujo :);Si;Muy conforme. La plataforma de exámenes utilizada está muy bien armada y es mucho más cómoda que el campus virtual. Las consignas eran excelentes: creativas y claras.;-;;;;;;
3/2/2021 10:13:24;75.01-95.01-Computación - 3 y 10 - Perez Berro;Muy Bueno;Sí;Interesantes;Sí;Buenas;Buenas;Normal;Normal;No;Peor;Peor;Peor;Peor;Peor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje;Menor interacción con el docente, Menor interacción con mis pares;;;;;;;;;;
3/2/2021 10:14:23;75.01-95.01-Computación - 3 y 10 - Perez Berro;Excelente;Sí;Interesantes;Sí;Muy Buenas;No Hay Clases Prácticas;Normal;Normal;No;Mejor;Peor;Similar;Similar;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Comodidad de mi hogar;Menor interacción con el docente, Menor interacción con mis pares;;Si;Si, estoy conforme.;;;;;;;
3/2/2021 10:19:59;75.41-95.15-Algoritmos y Programación II - 4 - Méndez;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Normal;Normal;No;Mejor;Mejor;Similar;Mejor;Mejor;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Ahorro en tiempo de viaje, Comodidad de mi hogar;Pérdida de comunicación no verbal, Problemas de conectividad;Totalmente. Hay mucha comunicación e interacción con los docentes no sólo durante clases sino también vía Slack. Además ofrecen mucho material interesante subido a la pagina de la cátedra. Muy bien organizado todo.;Si;Sí. Siento que lo evaluado estuvo a la altura de lo que se enseñó.;;;;;;;
3/2/2021 10:21:12;75.01-95.01-Computación - 3 y 10 - Perez Berro;Excelente;Sí;Interesantes;Sí;Muy Buenas;Muy Buenas;Dificil;Normal;No;Similar;Similar;Mejor;Similar;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Mejor interacción en grupo, Ahorro en tiempo de viaje, Menores costos de traslado y otros, Comodidad de mi hogar;Pérdida de comunicación no verbal;Tomando como punto de referencia a cómo se desempeñaron otras catedras de otras materias, mi cátedra estuvo a la altura sea desde el contenido a enseñar (videos grabados ya hechos con respectivos PDF's), los trabajos para volcar los conocimientos e incluso las herramientas que estaban en el campus;Si;Me pareció justa la forma y el contenido que se evalúo en cada módulo.;;;;;;;
3/2/2021 10:25:59;75.01-95.01-Computación - 3 y 10 - Perez Berro;Excelente;Sí;Muy Interesantes;Sí;Excelentes;Excelentes;Dificil;Dificil;No;Similar;Similar;Similar;Similar;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo, Comodidad de mi hogar;Menor interacción con mis pares, Pérdida de comunicación no verbal, Problemas de conectividad;Absolutamente;Si;Si;No;;;;;;
3/2/2021 10:28:29;75.01-95.01-Computación - 3 y 10 - Perez Berro;Bueno;Sí;Interesantes;Sí;No hay clases teóricas;No Hay Clases Prácticas;Normal;Dificil;No;No aplica;No aplica;Mejor;Peor;Similar;Posibilidad de ver las clases posteriormente, Posibilidad de volver atrás al no entender algo;Menor interacción con el docente, Menor interacción con mis pares, Pérdida de comunicación no verbal;si;Si;si;;;;;;;
